index.dat	true
index.png	true
index.rdf	true
sitemap.xml	true
sitemap.xsl	true
sb-file2url.txt	true
sb-url2name.txt	true
index.html	https://lifehacker.com/your-roadmap-to-the-marvel-cinematic-universe-before-ci-1774445576
index_1.html	https://lifehacker.com/your-roadmap-to-the-marvel-cinematic-universe-before-ci-1774445576
index_2.html	https://lifehacker.com/your-roadmap-to-the-marvel-cinematic-universe-before-ci-1774445576
proxima_nova_cond_sbold_it-webfont.woff	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_sbold_it-webfont.woff?08252015
proxima_nova_cond_reg_it-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_reg_it-webfont.woff2?08252015
proxima_nova_cond_reg_it-webfont.woff	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_reg_it-webfont.woff?08252015
proxima_nova_cond_reg-webfont.woff	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_reg-webfont.woff?08252015
videojs.css	https://x.kinja-static.com/assets/stylesheets/videojs.css
proxima_nova_cond_sbold-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_sbold-webfont.woff2?08252015
proxima_nova_cond_sbold_it-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_sbold_it-webfont.woff2?08252015
proxima_nova_cond_reg-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_reg-webfont.woff2?08252015
proxima_nova_cond_sbold-webfont.woff	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_sbold-webfont.woff?08252015
proxima_nova_cond_thin-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_thin-webfont.woff2?04172017
proxima_nova_cond_bold-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_bold-webfont.woff2?01182018
proxima_nova_cond_xbold-webfont.woff2	https://f.kinja-static.com/assets/fonts/proxima/proxima_nova_cond_xbold-webfont.woff2?01182018
worksans-italic-variablefont_wght.ttf	https://f.kinja-static.com/assets/fonts/work-sans/WorkSans-Italic-VariableFont_wght.ttf
worksans-variablefont_wght.ttf	https://f.kinja-static.com/assets/fonts/work-sans/WorkSans-VariableFont_wght.ttf
u0939doeuioaqhspkjyc.png	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_80,q_80,w_80/u0939doeuioaqhspkjyc.png
fcff13e1e14f7b3a2a7818103a83e3f6.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_80,pg_1,q_80,w_80/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_001.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_140/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_002.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_490/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_003.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_340/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_004.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_645/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_005.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_740/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_006.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_965/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_007.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1165/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_008.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1315/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_009.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1465/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
fcff13e1e14f7b3a2a7818103a83e3f6_010.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1600/fcff13e1e14f7b3a2a7818103a83e3f6.jpg
19a9a3f85ee515bc0822e28bde781e1f.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_265/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_001.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_340/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_002.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_80,pg_1,q_80,w_80/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_003.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_490/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_004.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1315/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_005.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1165/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_006.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1465/19a9a3f85ee515bc0822e28bde781e1f.jpg
19a9a3f85ee515bc0822e28bde781e1f_007.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fit,f_auto,g_center,pg_1,q_60,w_1600/19a9a3f85ee515bc0822e28bde781e1f.jpg
6364cdbb7f6a14ad9745d9bbfedb0def.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,g_center,h_149,pg_1,q_60,w_265/6364cdbb7f6a14ad9745d9bbfedb0def.jpg
6364cdbb7f6a14ad9745d9bbfedb0def_001.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,g_center,h_191,pg_1,q_60,w_340/6364cdbb7f6a14ad9745d9bbfedb0def.jpg
6364cdbb7f6a14ad9745d9bbfedb0def_002.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,g_center,h_362,pg_1,q_60,w_645/6364cdbb7f6a14ad9745d9bbfedb0def.jpg
6364cdbb7f6a14ad9745d9bbfedb0def_003.jpg	https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,g_center,h_655,pg_1,q_60,w_1165/6364cdbb7f6a14ad9745d9bbfedb0def.jpg
